title,skills,education,experience,certification,travel,hours,team,communication,english,description
Web Developer,html;css;javascript,informatika;computer science,Ya,Tidak,3,8,tim,Ya,4,"Anda memiliki keterampilan di bidang pengembangan web"
Data Analyst,python;sql;statistics,informatika;matematika,Ya,Tidak,2,7,mandiri,Ya,5,"Anda memiliki keterampilan analisis data"
Mobile Developer,flutter;kotlin;swift,teknik informatika,Ya,Tidak,3,8,tim,Ya,4,"Anda memiliki keterampilan pengembangan aplikasi mobile"
Project Manager,manajemen proyek,manajemen,Ya,Ya,4,8,tim,Ya,5,"Anda memiliki keterampilan manajemen proyek"
System Analyst,sql;uml,informatika,Ya,Tidak,2,7,tim,Ya,4,"Anda memiliki keterampilan analisis sistem"
Network Engineer,networking;ccna,teknik informatika,Ya,Tidak,3,8,tim,Ya,4,"Anda memiliki keterampilan jaringan"
Cyber Security Analyst,cybersecurity,teknik informatika,Ya,Ya,2,8,mandiri,Ya,5,"Anda memiliki keterampilan keamanan siber"
AI Engineer,python;machine learning,teknik informatika,Ya,Ya,2,8,mandiri,Ya,5,"Anda memiliki keterampilan di bidang kecerdasan buatan"
Software Tester,testing;qa,informatika,Ya,Tidak,2,8,mandiri,Ya,4,"Anda memiliki keterampilan pengujian perangkat lunak"
Database Administrator,sql;database,informatika,Ya,Tidak,2,8,mandiri,Ya,4,"Anda memiliki keterampilan administrasi database"
Cloud Engineer,aws;azure;gcp,informatika,Ya,Tidak,2,8,mandiri,Ya,5,"Anda memiliki keterampilan komputasi awan"
DevOps Engineer,devops;docker;kubernetes,informatika,Ya,Tidak,3,8,mandiri,Ya,5,"Anda memiliki keterampilan DevOps"
UI/UX Designer,design;ux;ui,desain grafis,Ya,Tidak,2,7,tim,Ya,4,"Anda memiliki keterampilan desain antarmuka"
Game Developer,unity;c#;unreal,informatika,Ya,Tidak,3,8,tim,Ya,4,"Anda memiliki keterampilan pengembangan game"
IT Support,it support,teknik informatika,Ya,Tidak,2,8,tim,Ya,4,"Anda memiliki keterampilan dukungan teknis"
